date,code,nox,no2
2016-09-22T03:00:00Z,KC1,29.63795128998637,29.23828
2016-09-22T04:00:00Z,KC1,30.89998890160131,30.273025620915032
2016-09-22T05:00:00Z,KC1,37.57351790941478,34.60633375163398
2016-09-22T06:00:00Z,KC1,58.55438827724406,44.574146875816986
2016-09-22T07:00:00Z,KC1,69.43518732688698,48.83678750326796
2016-09-22T08:00:00Z,KC1,52.903175745567026,38.01042813071896
2016-09-22T09:00:00Z,KC1,35.048492935967836,25.063494379084965
2016-09-22T10:00:00Z,KC1,27.654417265319235,20.69341437908497
2016-09-22T11:00:00Z,KC1,NA,NA
2016-09-22T12:00:00Z,KC1,NA,NA
2016-09-22T13:00:00Z,KC1,NA,NA
2016-09-22T14:00:00Z,KC1,NA,NA
2016-09-22T15:00:00Z,KC1,NA,NA
2016-09-22T16:00:00Z,KC1,NA,NA
2016-09-22T17:00:00Z,KC1,30.996115594751327,29.928426666666663
2016-09-22T18:00:00Z,KC1,47.10727990334782,43.95434813071895
2016-09-22T19:00:00Z,KC1,37.55298689583409,35.501172496732025
2016-09-22T20:00:00Z,KC1,42.96878766472102,40.16586687581699
2016-09-22T21:00:00Z,KC1,58.44981430753905,51.093933124183
2016-09-22T22:00:00Z,KC1,56.3550249317569,49.148599372549015
2016-09-22T23:00:00Z,KC1,35.71364960540859,32.41078750326797
2016-09-23T00:00:00Z,KC1,40.80587998890361,39.67133416993464
2016-09-23T01:00:00Z,KC1,34.69180595703242,32.739786875816996
2016-09-23T02:00:00Z,KC1,38.93248216047525,37.23067874509804
2016-09-23T03:00:00Z,KC1,49.1509795970863,43.946708130718946
2016-09-23T04:00:00Z,KC1,74.95270189590377,43.97679874509804
2016-09-23T05:00:00Z,KC1,98.65961870678049,44.964745620915025
2016-09-23T06:00:00Z,KC1,118.58569472875318,47.07577249673202
2016-09-23T07:00:00Z,KC1,115.16249582220209,48.55649437908495
2016-09-23T08:00:00Z,KC1,146.63548242023634,58.56155874509804
2016-09-23T09:00:00Z,KC1,102.13390776137318,52.44191874509803
2016-09-23T10:00:00Z,KC1,38.625934547283045,24.113747503267973
2016-09-23T11:00:00Z,KC1,20.436993495245414,12.33048062745098
2016-09-23T12:00:00Z,KC1,14.970101652726491,8.764508130718955
2016-09-23T13:00:00Z,KC1,8.941192621523404,4.387267503267974
2016-09-23T14:00:00Z,KC1,9.401019480756604,4.946904993464051
2016-09-23T15:00:00Z,KC1,19.05750758499221,12.752118745098038
2016-09-23T16:00:00Z,KC1,18.904228318934123,13.80022687581699
2016-09-23T17:00:00Z,KC1,24.013469663743226,20.210666248366014
2016-09-23T18:00:00Z,KC1,43.27534628331104,39.221852496732026
2016-09-23T19:00:00Z,KC1,40.77181189404774,36.81858813071895
2016-09-23T20:00:00Z,KC1,41.4871027295916,38.184240627450976
2016-09-23T21:00:00Z,KC1,43.377540241460636,39.92473249673202
2016-09-23T22:00:00Z,KC1,45.37014719054019,41.51671874509804
2016-09-23T23:00:00Z,KC1,48.74224938424382,44.789025620915034
2016-09-24T00:00:00Z,KC1,42.304587805125735,41.036986666666664
2016-09-24T01:00:00Z,KC1,39.13685719377332,37.234973124183
2016-09-24T02:00:00Z,KC1,24.473298280477206,23.52260125490196
2016-09-24T03:00:00Z,KC1,20.59028355371943,19.839651869281045
2016-09-24T04:00:00Z,KC1,13.641691336486812,13.04148
2016-09-24T05:00:00Z,KC1,19.72170234022875,18.82066562091503
2016-09-24T06:00:00Z,KC1,34.436337167011196,30.633533751633983
2016-09-24T07:00:00Z,KC1,40.82290772133901,31.715547503267974
2016-09-24T08:00:00Z,KC1,30.042388601806042,21.335174379084965
2016-09-24T09:00:00Z,KC1,25.137505053175772,17.13078750326797
2016-09-24T10:00:00Z,KC1,17.729100251299407,12.324748130718953
2016-09-24T11:00:00Z,KC1,15.378847258713591,11.174933124183005
2016-09-24T12:00:00Z,KC1,12.619851383266022,9.76774499346405
2016-09-24T13:00:00Z,KC1,15.37883585377461,12.075973751633988
2016-09-24T14:00:00Z,KC1,16.196327365204525,13.193800627450976
2016-09-24T15:00:00Z,KC1,18.342206969096644,15.889771869281045
2016-09-24T16:00:00Z,KC1,25.188600647468068,23.136786248366008
2016-09-24T17:00:00Z,KC1,42.15131486847249,39.14878813071895
2016-09-24T18:00:00Z,KC1,54.10696524476346,50.80361312418301
2016-09-24T19:00:00Z,KC1,46.59635634487879,43.99446562091503
2016-09-24T20:00:00Z,KC1,49.04880230356708,46.39676125490196
2016-09-24T21:00:00Z,KC1,30.757681274919054,28.705866875816994
2016-09-24T22:00:00Z,KC1,21.101200267943987,19.49966687581699
2016-09-24T23:00:00Z,KC1,16.80943180585725,15.258508130718953
2016-09-25T00:00:00Z,KC1,22.75318649349261,21.952266666666667
2016-09-25T01:00:00Z,KC1,17.303316773018217,16.569881673202612
2016-09-25T02:00:00Z,KC1,15.634297273502135,15.133881254901958
2016-09-25T03:00:00Z,KC1,14.30590410790785,13.955893124183005
2016-09-25T04:00:00Z,KC1,10.422875359576684,10.222319999999998
2016-09-25T05:00:00Z,KC1,7.561691631192919,7.260866248366012
2016-09-25T06:00:00Z,KC1,10.831612876256111,10.381331869281045
2016-09-25T07:00:00Z,KC1,12.568766095374636,11.567918745098037
2016-09-25T08:00:00Z,KC1,12.773133165873055,10.571373124183006
2016-09-25T09:00:00Z,KC1,11.904552964446601,9.051971869281045
2016-09-25T10:00:00Z,KC1,10.32068140142708,7.418439999999999
2016-09-25T11:00:00Z,KC1,13.181859976610392,9.628307503267973
2016-09-25T12:00:00Z,KC1,12.313304422631052,8.109864993464052
2016-09-25T13:00:00Z,KC1,8.839012664930106,5.7868256209150335
2016-09-25T14:00:00Z,KC1,12.108914608711416,8.955508130718954
2016-09-25T15:00:00Z,KC1,10.576143220695787,7.974252496732025
2016-09-25T16:00:00Z,KC1,12.51765565400402,10.46584125490196
2016-09-25T17:00:00Z,KC1,17.98455621837076,16.233092496732024
2016-09-25T18:00:00Z,KC1,28.458520900484128,26.806852496732024
2016-09-25T19:00:00Z,KC1,30.34894120165649,28.69774750326797
2016-09-25T20:00:00Z,KC1,35.61146903629225,33.909665620915035
2016-09-25T21:00:00Z,KC1,35.866945662605076,33.665185620915025
2016-09-25T22:00:00Z,KC1,35.04945463719019,33.298465620915024
2016-09-25T23:00:00Z,KC1,31.524069016275153,29.773079999999997
2016-09-26T00:00:00Z,KC1,27.794321331537034,27.46006750326797
2016-09-26T01:00:00Z,KC1,19.210780073262555,18.810159372549016
2016-09-26T02:00:00Z,KC1,29.991294505592993,29.140867503267973
2016-09-26T03:00:00Z,KC1,25.035317599780754,24.53442687581699
2016-09-26T04:00:00Z,KC1,29.63365454728304,28.68246750326797
2016-09-26T05:00:00Z,KC1,44.705938220765475,40.301958745098034
2016-09-26T06:00:00Z,KC1,75.10598014989763,54.889105620915025
2016-09-26T07:00:00Z,KC1,122.21325441402999,66.016760627451
2016-09-26T08:00:00Z,KC1,87.9812839980444,53.70251874509803
2016-09-26T09:00:00Z,KC1,50.070647576530526,36.10902687581699
2016-09-26T10:00:00Z,KC1,40.26088489343937,29.401586248366012
2016-09-26T11:00:00Z,KC1,28.918359211095968,20.26128
2016-09-26T12:00:00Z,KC1,26.772466171730933,21.567719999999994
2016-09-26T13:00:00Z,KC1,45.267956994002724,33.15712062745097
2016-09-26T14:00:00Z,KC1,21.356672626612568,16.752612496732027
2016-09-26T15:00:00Z,KC1,24.166749036292245,20.363945620915032
2016-09-26T16:00:00Z,KC1,25.086418706780503,21.43354562091503
2016-09-26T17:00:00Z,KC1,37.80845239024109,34.50606499346405
2016-09-26T18:00:00Z,KC1,55.946285977049506,49.841452496732025
2016-09-26T19:00:00Z,KC1,58.296540720730626,53.743105620915024
2016-09-26T20:00:00Z,KC1,59.062935306331205,55.110186248366
2016-09-26T21:00:00Z,KC1,60.39133670775829,55.63734624836601
2016-09-26T22:00:00Z,KC1,56.61049517982318,53.508173124183
2016-09-26T23:00:00Z,KC1,62.12848095201295,56.323508130718956
2016-09-27T00:00:00Z,KC1,63.55907331783319,55.285586666666674
2016-09-27T01:00:00Z,KC1,36.7866024300751,35.38513437908497
2016-09-27T02:00:00Z,KC1,27.896502340228746,26.99546562091503
2016-09-27T03:00:00Z,KC1,24.37112138649915,23.47055937254902
2016-09-27T04:00:00Z,KC1,31.319704249343808,30.21858687581699
2016-09-27T05:00:00Z,KC1,45.216864395868924,41.21350562091503
2016-09-27T06:00:00Z,KC1,66.72681303936501,53.91547999999999
2016-09-27T07:00:00Z,KC1,50.070644999930295,40.41273375163397
2016-09-27T08:00:00Z,KC1,33.92542533295395,26.118773124183008
2016-09-27T09:00:00Z,KC1,25.495157787995925,19.89026562091503
2016-09-27T10:00:00Z,KC1,22.174139996627485,16.568773124183004
2016-09-27T11:00:00Z,KC1,22.991624770303854,18.588119999999996
2016-09-27T12:00:00Z,KC1,26.925746789343144,21.571544993464045
2016-09-27T13:00:00Z,KC1,29.531467579903044,23.276213751633982
2016-09-27T14:00:00Z,KC1,31.72844576063434,25.17284125490196
2016-09-27T15:00:00Z,KC1,35.81585032132884,28.059333124183006
