date,code,pollutant,mean,capture_rate,source,site.type,name
2013,HO4,nox,59.50973284309789,98.41342312521402,importKCL,Roadside,Non-London
2013,HO5,nox,54.97854816451407,94.95491382262298,importKCL,Roadside,Non-London
2013,HR1,nox,42.340257090431486,99.97717155575847,importKCL,Urban Background,LAEIBox
2013,HR2,nox,98.81334111645873,96.26754936651068,importKCL,Roadside,LAEIBox
2013,HS8,nox,172.01672926754543,94.14450405204884,importKCL,Roadside,LAEIBox
2013,HT1,nox,53.196066871052366,32.23376326903322,importKCL,Roadside,Non-London
2013,HV1,nox,55.810030749829906,78.01620819541148,importKCL,Roadside,LAEIBox
2013,HV3,nox,68.77780986899845,75.99589088003653,importKCL,Roadside,LAEIBox
2013,IS2,nox,146.44147110539294,80.52733706197922,importKCL,Roadside,LAEIBox
2013,IS6,nox,58.680969352473056,99.28090400639196,importKCL,Urban Background,LAEIBox
