X,Y,site,date,code,pollutant,mean,capture_rate,source,site.type,name,duplicate
315748.634687347,99874.0339865373,Honiton,2019,HONI,nox,20.0976992685185,12.3273598904235,importAURN,Urban Background,Non-London,N
528206.034337314,142330.909495596,Horley,2013,HORE,nox,37.202281337971,98.4476657915763,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2014,HORE,nox,33.7922531561934,88.2775938819769,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2015,HORE,nox,32.454011259405,98.607464901267,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2016,HORE,nox,36.9724725005754,98.9186112692089,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2017,HORE,nox,34.2620021734091,98.4704942358178,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2018,HORE,nox,29.5691222658126,85.538180572994,importAURN,Suburban Industrial,Non-London,N
528206.034337314,142330.909495596,Horley,2019,HORE,nox,43.8639911198428,11.6196781189362,importAURN,Suburban Industrial,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2013,HUL2,nox,41.6552426972499,95.0462275995891,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2014,HUL2,nox,39.7316774617808,97.8084693528136,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2015,HUL2,nox,38.6121839477368,97.8427120191759,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2016,HUL2,nox,38.0491970888991,98.85031303358,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2017,HUL2,nox,37.369021619564,98.9498915648899,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2018,HUL2,nox,32.9891950005764,99.0183768976144,importAURN,Urban Background,Non-London,N
509481.950638581,429322.052090192,Hull Freetown,2019,HUL2,nox,47.9889516588124,12.110489670129,importAURN,Urban Background,Non-London,N
511793.89607374,430510.945171454,Hull Holderness Road,2015,HULR,nox,64.077649920967,98.2079671270403,importAURN,Urban Traffic,Non-London,N
511793.89607374,430510.945171454,Hull Holderness Road,2016,HULR,nox,64.6495349326735,98.9072282299374,importAURN,Urban Traffic,Non-London,N
511793.89607374,430510.945171454,Hull Holderness Road,2017,HULR,nox,61.7312635241172,98.9156488985276,importAURN,Urban Traffic,Non-London,N
511793.89607374,430510.945171454,Hull Holderness Road,2018,HULR,nox,55.3715309753843,98.7672640109577,importAURN,Urban Traffic,Non-London,N
511793.89607374,430510.945171454,Hull Holderness Road,2019,HULR,nox,75.5425400455788,12.5214016664764,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2013,INV2,nox,41.4727648057116,97.5231137997945,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2014,INV2,nox,42.828612328578,99.2124186736674,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2015,INV2,nox,52.2648157403682,73.7701175664878,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2016,INV2,nox,47.4938859432657,98.7137165623221,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2017,INV2,nox,41.0860147559967,96.5985618080128,importAURN,Urban Traffic,Non-London,N
265708.851338959,845668.854829626,Inverness,2018,INV2,nox,41.5727363028413,98.8243351215615,importAURN,Urban Traffic,Non-London,N
